# 거리 단위 수정 보고서
생성일: 2025-11-24T09:25:24.746Z

## 요약
- 수정 대상: 977개
- 성공: 977개
- 실패: 0개

## 수정 내역

| ID | 산 | 등산로 | 기존 거리 | 수정 거리 |
|---|---|---|---|---|
| e2f303de-0a1a-43e3-87db-a83128fcd2ff | 설악산 | 설악산 5번 코스 (정방향) | 37576m | 37.6km |
| 5989e6c3-f40e-4401-9b05-1d2a16e25c73 | 울진금강소나무숲길 | 울진금강소나무숲길 1번 코스 (정방향) | 37296m | 37.3km |
| 2b04b436-1301-424c-b990-8d62b70bec0b | 태화산 | 태화산 3번 코스 (역방향) | 37123m | 37.1km |
| 56bf756d-3cdb-4132-a6d9-f765b85ee794 | 비슬산 | 비슬산 2번 코스 (역방향) | 36586m | 36.6km |
| d5657a44-a56a-450b-ab1e-0b5ca52df813 | 속리산 | 속리산 1번 코스 (정방향) | 36365m | 36.4km |
| ccbac32a-4248-4e92-95ce-6cbdb472a56a | 오대산 | 오대산 2번 코스 (역방향) | 36354m | 36.4km |
| bb3391b8-f32f-4175-9d59-9741bb286996 | 울진금강소나무숲길 | 울진금강소나무숲길 6번 코스 (정방향) | 36182m | 36.2km |
| 9303c422-3b38-4bcc-b188-d9baf8f16ff5 | 운문산 | 운문산 7번 코스 (역방향) | 35587m | 35.6km |
| d488d99d-f0a3-410f-9799-58773a8acdc8 | 천관산 | 천관산 4번 코스 (역방향) | 34224m | 34.2km |
| b772daac-ae3f-45bd-a733-e06f87b697fd | 금오산 | 금오산 7번 코스 (역방향) | 33924m | 33.9km |
| eb7b8ec3-1825-44c4-bdf1-f2f4f908c142 | 비슬산 | 비슬산 2번 코스 (정방향) | 33199m | 33.2km |
| 64af4722-e32f-4858-916c-4d30e32e1c1e | 미륵산 | 미륵산 2번 코스 (역방향) | 32366m | 32.4km |
| ede8313e-c219-406b-a4c8-9d4296206d5e | 화악산 | 화악산 3번 코스 (정방향) | 32290m | 32.3km |
| d2ef4267-824c-49f0-877c-b41e318f7abc | 백운산(포천) | 백운산(포천) 5번 코스 (역방향) | 32136m | 32.1km |
| a76799aa-423f-4b10-a98c-fb16a6f32e4e | 금오산 | 금오산 10번 코스 (역방향) | 31643m | 31.6km |
| b9693e83-8b84-415e-a4e1-35c280fa2a59 | 북한산 | 북한산 45번 코스 (역방향) | 31291m | 31.3km |
| a9748cf6-b700-478d-a940-3325fabfea71 | 운악산 | 운악산 3번 코스 (역방향) | 30949m | 30.9km |
| 4db21311-e960-4bf8-b353-4339df6fbf96 | 한라산 | 한라산 2번 코스 (역방향) | 30653m | 30.7km |
| 5cc97107-dd0a-46ee-8932-0558337f6194 | 가리왕산 | 가리왕산 2번 코스 (정방향) | 30492m | 30.5km |
| 98cbbf32-4434-4fa9-9944-85694eb04542 | 내연산 | 내연산 1번 코스 (역방향) | 30216m | 30.2km |
| 46ee1ddf-f2c7-49f7-a456-c31dc6624e5c | 무등산 | 무등산 28번 코스 (정방향) | 30060m | 30.1km |
| adee3c59-d880-4d1a-951e-6b1f2ea2730f | 금오산 | 금오산 10번 코스 (정방향) | 29949m | 29.9km |
| 9b640a09-bae7-445c-bd55-96bd17319564 | 주흘산 | 주흘산 2번 코스 (왕복코스) | 29532m | 29.5km |
| 4d41bd06-3337-460b-a25e-ebc1b3ac6d33 | 태백산 | 태백산 4번 코스 (정방향) | 29196m | 29.2km |
| 91dd1981-807e-4bfa-b13b-480ec9a8d153 | 한라산 | 한라산 1번 코스 (정방향) | 28961m | 29km |
| c88f317b-56ae-4e37-b876-4901e93089e0 | 팔공산 | 팔공산 14번 코스 (역방향) | 28912m | 28.9km |
| 1432c69a-41b4-4ed9-ac03-c2cb87c3445c | 대암산 | 대암산 1번 코스 (역방향) | 28868m | 28.9km |
| 97980119-f57d-4e41-a8dd-35de307478ca | 대암산 | 대암산 1번 코스 (정방향) | 28768m | 28.8km |
| fcd09748-73e2-4644-b61c-96f3b753a3e2 | 금오산 | 금오산 1번 코스 (역방향) | 28739m | 28.7km |
| ddb617f4-8b71-47bf-87e6-e3fdd55e8634 | 삼악산 | 삼악산 10번 코스 (정방향) | 28591m | 28.6km |
| 0e561caa-80ab-4e69-b66c-97420b40690d | 무등산 | 무등산 29번 코스 (정방향) | 28123m | 28.1km |
| 593e7633-c503-42b3-8e12-63566dc80ed3 | 삼악산 | 삼악산 10번 코스 (역방향) | 28107m | 28.1km |
| 17a6cc11-b1b1-40e9-a0f3-af6f6624572d | 마니산 | 마니산 2번 코스 (역방향) | 27825m | 27.8km |
| adb3a290-fade-48c0-96f3-ce092616234f | 북한산 | 북한산 34번 코스 (역방향) | 27420m | 27.4km |
| 40754434-7666-44c1-8750-cb45d55ad705 | 화악산 | 화악산 5번 코스 (왕복코스) | 27382m | 27.4km |
| ad4fe0c0-2d30-4e63-9a45-eba8ea411e5f | 백운산(광양) | 백운산(광양) 4번 코스 (왕복코스) | 27309m | 27.3km |
| 6c9705eb-1316-47e8-80cc-e33cd06fc24b | 대야산 | 대야산 2번 코스 (정방향) | 27298m | 27.3km |
| 2ce4f321-974a-4743-a620-123227679c8a | 명지산 | 명지산 1번 코스 (정방향) | 27106m | 27.1km |
| dcf82174-7d68-4f3b-9819-937607982a31 | 도봉산 | 도봉산 43번 코스 (역방향) | 27021m | 27km |
| e2c9c897-9047-4b6a-803d-39381ca0a074 | 내장산 | 내장산 4번 코스 (역방향) | 27009m | 27km |
| 90d8fcb3-7f7a-4059-9f17-e8385578b94a | 내연산 | 내연산 3번 코스 (정방향) | 26973m | 27km |
| a6ea3be7-b287-42e0-8db8-36e283dc36f4 | 북한산 | 북한산 46번 코스 (역방향) | 26951m | 27km |
| e3135ef3-b2cd-4344-9f7d-711d2325c716 | 두륜산 | 두륜산 1번 코스 (역방향) | 26892m | 26.9km |
| c0210aeb-0018-40c5-941d-604394235828 | 신불산 | 신불산 13번 코스 (역방향) | 26889m | 26.9km |
| 95f67324-4d88-4c11-8656-178b254a1147 | 관악산 | 관악산 5번 코스 (역방향) | 26792m | 26.8km |
| 9ad4fe7e-6dc8-4557-a2fb-e0139c109055 | 무등산 | 무등산 24번 코스 (역방향) | 26448m | 26.4km |
| 8433a1f9-865f-486f-85f0-60347c7651fc | 주흘산 | 주흘산 1번 코스 (역방향) | 26400m | 26.4km |
| 91a5e4e0-d15f-4eec-add1-080b166cac53 | 백운산(포천) | 백운산(포천) 4번 코스 (정방향) | 26233m | 26.2km |
| 4325eea9-297c-441b-bc70-7997c6278c18 | 팔공산 | 팔공산 20번 코스 (왕복코스) | 26059m | 26.1km |
| 2cad3f4d-6b92-4026-a0d9-e62655fca68e | 삼악산 | 삼악산 4번 코스 (역방향) | 26027m | 26km |
| b3de77fd-4e95-4322-bbbe-a8ffee4d1ca8 | 태화산 | 태화산 3번 코스 (정방향) | 26008m | 26km |
| 85d575ae-85c6-4698-8e56-8118ab1ce417 | 운장산 | 운장산 1번 코스 (정방향) | 25873m | 25.9km |
| 872519a7-8278-4f5b-96ed-0b9c05458900 | 황매산 | 황매산 1번 코스 (정방향) | 25784m | 25.8km |
| 58ea9b5b-f4df-46b6-b0cd-52a4b8676086 | 한라산 | 한라산 2번 코스 (정방향) | 25756m | 25.8km |
| 54241327-58c7-4e8d-9160-809206075bee | 재약산 | 재약산 4번 코스 (정방향) | 25756m | 25.8km |
| de84c215-2fd7-4afa-b6a6-e45bb29e1a67 | 공작산 | 공작산 6번 코스 (왕복코스) | 25705m | 25.7km |
| 734ba20d-e3d7-4147-ad06-af3d4bf429c1 | 천관산 | 천관산 5번 코스 (정방향) | 25604m | 25.6km |
| 92c3437a-720c-4020-b78d-6b6ec3011169 | 한라산 | 한라산 4번 코스 (역방향) | 25436m | 25.4km |
| ebbd53a6-7bbc-4e29-9a09-4f527f1fccc1 | 무등산 | 무등산 28번 코스 (역방향) | 25362m | 25.4km |
| f2b485f8-308b-4b76-ada8-6cc99935bfba | 도봉산 | 도봉산 12번 코스 (역방향) | 25356m | 25.4km |
| db360a08-0e53-4977-af8a-8077fc2ace85 | 지리산 | 지리산 5번 코스 (역방향) | 25316m | 25.3km |
| d75ffd4a-63b8-4697-8fa8-dfe0c62afcb6 | 신불산 | 신불산 7번 코스 (역방향) | 25206m | 25.2km |
| 1a1b3ccc-6143-4270-84b6-2ef61dae55ef | 치악산 | 치악산 6번 코스 (왕복코스) | 25165m | 25.2km |
| 0a6b3eb1-3b2d-415f-b02d-d9636336392c | 명지산 | 명지산 4번 코스 (왕복코스) | 25011m | 25km |
| 6a5ba229-9f28-482d-8c45-c3c73ce32a55 | 치악산 | 치악산 3번 코스 (정방향) | 24774m | 24.8km |
| 5af5fae4-a547-4c87-b9ad-096b19a9f844 | 유명산 | 유명산 4번 코스 (정방향) | 24761m | 24.8km |
| 94ec471b-ba62-4f87-b8e5-53327e9918c7 | 두타산 | 두타산 2번 코스 (정방향) | 24342m | 24.3km |
| 39e2efca-2010-42ce-bc75-e67e5bc800aa | 삼악산 | 삼악산 7번 코스 (역방향) | 24236m | 24.2km |
| fb086313-54e5-44e7-a9e2-785be7d6d635 | DMZ펀치볼둘레길 | DMZ펀치볼둘레길 3번 코스 (정방향) | 24065m | 24.1km |
| 5b963bed-162d-460c-968b-b7e1bf6e1036 | 삼악산 | 삼악산 7번 코스 (정방향) | 24021m | 24km |
| 143c9f6b-3651-4216-a2ba-5f833274d2f9 | 재약산 | 재약산 11번 코스 (정방향) | 23958m | 24km |
| 72a806e4-f2f6-4a14-bd1f-ad2b369842a4 | 팔공산 | 팔공산 3번 코스 (정방향) | 23680m | 23.7km |
| ba2dc57d-2ec7-4d01-bdbf-62c451627e84 | 재약산 | 재약산 11번 코스 (역방향) | 23418m | 23.4km |
| 2800ef4d-e11b-430e-b229-4b0bbc58b2cb | 삼악산 | 삼악산 12번 코스 (정방향) | 23204m | 23.2km |
| 608f3f39-50fc-4e4a-b6f0-b7380ce83c1b | 천관산 | 천관산 4번 코스 (정방향) | 23077m | 23.1km |
| 97f984c6-0e9c-4fba-bcd7-6f9d2f5af5a3 | 용문산 | 용문산 4번 코스 (왕복코스) | 23053m | 23.1km |
| 68f748cb-2bf2-490f-8f98-2f7112496ce3 | 태백산 | 태백산 2번 코스 (정방향) | 22928m | 22.9km |
| 633277d3-c2e5-4128-ac26-a02ff3d5b30a | 마이산 | 마이산 2번 코스 (정방향) | 22873m | 22.9km |
| c58e329a-3474-4520-8b51-fc73d641a99f | 운문산 | 운문산 9번 코스 (정방향) | 22825m | 22.8km |
| f94d41ad-c437-4cda-8878-3bdd96c2795e | 응봉산 | 응봉산 1번 코스 (정방향) | 22761m | 22.8km |
| bf4baa03-fd97-4a02-8b89-41a415b47972 | 치악산 | 치악산 2번 코스 (정방향) | 22743m | 22.7km |
| ded98bbe-e010-42f2-be49-2ce846674887 | 백덕산 | 백덕산 3번 코스 (역방향) | 22715m | 22.7km |
| 148d253b-d01d-4769-81f9-5aa4fcd46f02 | 삼악산 | 삼악산 14번 코스 (역방향) | 22702m | 22.7km |
| 04c324d8-27bb-4dbb-8e4a-1f7457059698 | 관악산 | 관악산 15번 코스 (정방향) | 22626m | 22.6km |
| 06257d30-892b-4603-b858-7f1e692e021f | 재약산 | 재약산 4번 코스 (역방향) | 22625m | 22.6km |
| 9255ece9-4c51-4113-86ca-87545edefe43 | 신불산 | 신불산 16번 코스 (정방향) | 22563m | 22.6km |
| 073da1e4-64e8-43f5-8ebd-1a5de1bb9fda | 비슬산 | 비슬산 5번 코스 (정방향) | 22351m | 22.4km |
| 3610254a-653f-4f9e-ab16-44a4b9ff5297 | 북한산 | 북한산 31번 코스 (역방향) | 22321m | 22.3km |
| 9eb6c25b-650c-4a01-b8eb-6e1b78ca05e1 | 공작산 | 공작산 7번 코스 (정방향) | 22317m | 22.3km |
| 20a1ee06-949f-4f04-92d1-32fcc49a89e2 | 미륵산 | 미륵산 5번 코스 (역방향) | 22183m | 22.2km |
| 90977ba3-863f-4db7-9774-bc6c60342a8c | 운문산 | 운문산 5번 코스 (정방향) | 22124m | 22.1km |
| dd447b99-48e1-420c-b5f6-11cb456a8463 | 무등산 | 무등산 16번 코스 (정방향) | 22109m | 22.1km |
| 3e212c57-fe5c-4b69-9ca8-5e4943e7d7c4 | 백운산(정선) | 백운산(정선) 1번 코스 (역방향) | 22069m | 22.1km |
| 0bc08c44-e7e2-4717-a317-2ad54ba6f5b8 | 화악산 | 화악산 3번 코스 (역방향) | 21836m | 21.8km |
| aab4ffd2-472a-4844-9c36-4af48033e603 | 한라산 | 한라산 4번 코스 (정방향) | 21812m | 21.8km |
| b365eefa-6dbb-453d-b37f-e7444756365a | 도락산 | 도락산 1번 코스 (역방향) | 21534m | 21.5km |
| 343393d7-2c80-47a6-a0fa-f4e27bf39eaa | 백두대간트레일 | 백두대간트레일 3번 코스 (왕복코스) | 21359m | 21.4km |
| f4313ddc-d686-434a-af45-cced7c69d20a | 강천산 | 강천산 2번 코스 (역방향) | 21331m | 21.3km |
| 2c39163e-c158-4328-b16e-f327e647bab0 | 강천산 | 강천산 5번 코스 (역방향) | 21330m | 21.3km |
| 39fdd309-c93d-48f6-a95b-6f9457e8351b | 신불산 | 신불산 4번 코스 (역방향) | 21214m | 21.2km |
| 5987153e-5459-4a6c-ac79-7fb3d311fe0a | 내연산 | 내연산 1번 코스 (정방향) | 20998m | 21km |
